row_type,case_id,name,probe_kind,role,time_s,v_in,v_q1,v_mid,v_q3,v_raw_pre_extraction,v_post_extraction,i_src,i_bias
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,5.045812664137731e-07,1.585095683849396,1.0697195624513722,-0.8272981220814339,1.7043859393948286,0.9860141932840683,0.4820406258304015,-0.013230239343645606,0.013937788640752697
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,5.084330318062445e-07,0.906197116571278,-0.32287777650973887,-1.1712336830054788,-0.6921706144023729,-0.4697213828001248,-0.5421511838404265,-0.004301669291321035,0.01049546776128344
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,5.122847971987161e-07,-0.6610474871665404,-0.516500802039257,0.7334382523618581,0.07056188888738807,-0.6984847888094855,0.17846976536267722,0.013979727587416967,-0.029714784656351037
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,5.161365625911877e-07,-1.5564412236186342,-0.12931602424025804,0.29008314522924444,0.8254490023389529,0.9595101953651892,0.4168310869195809,0.011713738197340206,0.009411116904284793
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,5.199883279836593e-07,-0.4869394789187571,0.05053362217541832,1.0006134822219006,-1.7362694569479833,-0.7587679283423223,-0.6562744241325504,-0.006365443656372318,-0.004007372297247245
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,5.238400933761308e-07,1.489969274606728,0.8391451896105193,-0.4459422142221291,1.1859468502100443,0.7425064485753657,0.6133195843068642,-0.01251700248893199,0.009653661737628855
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,5.276918587686023e-07,1.1645327519064348,0.41091048737103214,-1.7154879413297948,-0.2357927915633327,-0.02130583553707733,-0.47363808114098604,-0.007456204642067631,0.014403343018346873
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,5.315436241610739e-07,-0.4021532301859543,-1.1366984804202138,0.6315212689347256,-0.1619502167286419,-0.8273501598690266,0.0883207899521672,0.01079257120252906,-0.025242532948036522
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,5.353953895535454e-07,-1.4047028941850086,-0.005172530093255396,0.3269149974823888,1.025242828778954,0.6211644801798847,0.37286506774099554,0.01565719038015348,-0.0011585272844977248
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,5.39247154946017e-07,-0.9874529783986463,0.007476473989628123,0.9894317348489016,-1.4866540380717734,-0.3571965646789207,-0.5866508199677958,-0.005045666451674598,0.003422989791832487
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,5.430989203384885e-07,1.308839814214135,0.5802815679288111,-0.09480903239427654,0.3612778354843659,0.33390783123444445,0.5598935389177927,-0.01120917264345954,0.0037801579219232315
spice_412_electrical_control_forensics_timeseries,f010,f010_phase_mismatched_line_phase_mismatched_line,phase_mismatched_line,control,5.469506857309601e-07,1.3643738552118925,0.9020531693627112,-1.9477559893515615,0.4809074874182502,0.4614116922888312,-0.2967109815518269,-0.010161301454887157,0.016004104346561163
spice_412_electrical_control_forensics_timeseries,f011,f011_linear_fixed_component_extraction_linear_fixed_component_extraction,linear_fixed_component_extraction,control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
