 time            time            v(n1)           v(n2)           v(n3)           i(L1)           i(L2)           i(L3)
 6.66980697e-02  6.66980697e-02  8.82394037e-07  3.47168339e-09  1.37125785e-11  1.88846563e-08  1.36973146e-10  1.73319238e-12
 6.96639827e-02  6.96639827e-02  1.00533649e-06  3.95683969e-09  1.56338302e-11  2.24725216e-08  1.63174848e-10  2.06436524e-12
 7.27619994e-02  7.27619994e-02  1.14541098e-06  4.50972082e-09  1.78235036e-11  2.67422610e-08  1.94380548e-10  2.45871307e-12
 7.59980107e-02  7.59980107e-02  1.30500417e-06  5.13976796e-09  2.03189758e-11  3.18234804e-08  2.31544519e-10  2.92826631e-12
 7.93782179e-02  7.93782179e-02  1.48683757e-06  5.85774623e-09  2.31628442e-11  3.78705083e-08  2.75803408e-10  3.48734991e-12
 8.29090689e-02  8.29090689e-02  1.69401021e-06  6.67591320e-09  2.64035852e-11  4.50669742e-08  3.28510031e-10  4.15300712e-12
 8.65973355e-02  8.65973355e-02  1.93005500e-06  7.60824093e-09  3.00964207e-11  5.36315126e-08  3.91275454e-10  4.94552690e-12
 8.68055556e-02  8.68055556e-02  1.94398180e-06  7.66325279e-09  3.03143129e-11  5.41472123e-08  3.95055834e-10  4.99325580e-12
 8.70903445e-02  8.70903445e-02  1.96319902e-06  7.73916351e-09  3.06149809e-11  5.48618978e-08  4.00295201e-10  5.05940353e-12
 8.76599225e-02  8.76599225e-02  2.00193532e-06  7.89217904e-09  3.12210433e-11  5.63081872e-08  4.10898523e-10  5.19326911e-12
 8.86777962e-02  8.86777962e-02  2.07236666e-06  8.17040232e-09  3.23230099e-11  5.89609093e-08  4.30348926e-10  5.43881633e-12
 9.07135436e-02  9.07135436e-02  2.21811570e-06  8.74617832e-09  3.46034204e-11  6.45462715e-08  4.71311328e-10  5.95588727e-12
 9.42587918e-02  9.42587918e-02  2.48801655e-06  9.81249478e-09  3.88263173e-11  7.52197026e-08  5.49619592e-10  6.94419705e-12
 9.82205827e-02  9.82205827e-02  2.81463154e-06  1.11029899e-08  4.39363333e-11  8.86693736e-08  6.48343143e-10  8.18985541e-12
 1.02707298e-01  1.02707298e-01  3.21769025e-06  1.26956470e-08  5.02416477e-11  1.06004616e-07  7.75647670e-10  9.79568268e-12
 1.07256827e-01  1.07256827e-01  3.66386850e-06  1.44587932e-08  5.72202618e-11  1.26061177e-07  9.23001548e-10  1.16538399e-11
 1.12119270e-01  1.12119270e-01  4.18429684e-06  1.65154302e-08  6.53581526e-11  1.50508618e-07  1.10268642e-09  1.39189435e-11
 1.17078836e-01  1.17078836e-01  4.76350096e-06  1.88043766e-08  7.44121187e-11  1.78937592e-07  1.31170946e-09  1.65529414e-11
 1.22336186e-01  1.22336186e-01  5.43318794e-06  2.14508836e-08  8.48761403e-11  2.13278000e-07  1.56427543e-09  1.97344135e-11
 1.27747307e-01  1.27747307e-01  6.18493176e-06  2.44215765e-08  9.66163795e-11  2.53548224e-07  1.86053429e-09  2.34647044e-11
 1.33464010e-01  1.33464010e-01  7.05098790e-06  2.78438076e-08  1.10133696e-10  3.02014485e-07  2.21717069e-09  2.79531827e-11
 1.39384021e-01  1.39384021e-01  8.02903436e-06  3.17082443e-08  1.25388089e-10  3.59194826e-07  2.63800597e-09  3.32470147e-11
 1.45615578e-01  1.45615578e-01  9.15168700e-06  3.61435407e-08  1.42883385e-10  4.27765736e-07  3.14274163e-09  3.95928222e-11
 1.52091099e-01  1.52091099e-01  1.04238738e-05  4.11688734e-08  1.62690097e-10  5.08950035e-07  3.74037289e-09  4.71021238e-11
 1.58888977e-01  1.58888977e-01  1.18801908e-05  4.69205127e-08  1.85338800e-10  6.06049983e-07  4.45518960e-09  5.60780726e-11
 1.65966922e-01  1.65966922e-01  1.35336579e-05  5.34493668e-08  2.11021691e-10  7.21240827e-07  5.30316669e-09  6.67185960e-11
 1.73385007e-01  1.73385007e-01  1.54232264e-05  6.09085677e-08  2.40330690e-10  8.58790808e-07  6.31565872e-09  7.94136534e-11
 1.81119576e-01  1.81119576e-01  1.75714545e-05  6.93862951e-08  2.73599045e-10  1.02219878e-06  7.51831656e-09  9.44803293e-11
 1.89218085e-01  1.89218085e-01  2.00238989e-05  7.90612103e-08  3.11511169e-10  1.21714142e-06  8.95276317e-09  1.12434149e-10
 1.97670243e-01  1.97670243e-01  2.28144931e-05  9.00657359e-08  3.54564921e-10  1.44895675e-06  1.06580493e-08  1.33756161e-10
 2.06515287e-01  2.06515287e-01  2.59982449e-05  1.02614942e-07  4.03575234e-10  1.72536231e-06  1.26906212e-08  1.59142062e-10
 2.15752817e-01  2.15752817e-01  2.96230494e-05  1.16895250e-07  4.59236832e-10  2.05427580e-06  1.51082452e-08  1.89300183e-10
 2.25417086e-01  2.25417086e-01  3.37569443e-05  1.33171694e-07  5.22540860e-10  2.44635658e-06  1.79886360e-08  2.25182804e-10
 2.35515297e-01  2.35515297e-01  3.84653101e-05  1.51697874e-07  5.94421022e-10  2.91316443e-06  2.14158449e-08  2.67814598e-10
 2.46079075e-01  2.46079075e-01  4.38337484e-05  1.72805761e-07  6.76099305e-10  3.46958530e-06  2.54979711e-08  3.18510998e-10
 2.57121761e-01  2.57121761e-01  4.99498362e-05  1.96833553e-07  7.68801552e-10  4.13234497e-06  3.03561078e-08  3.78737708e-10
