row_type,case_id,name,time_s,v_in,v_mid,v_out,i_src,i_bias,family,cleanup_topology
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.1475886112725164e-07,2.1475886112725164e-07,-1.092504567021976,0.12305988486889309,-0.12042381750547075,0.011005019638418552,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.1859384079023826e-07,2.1859384079023826e-07,-0.5584648827992214,0.06661650491324854,0.006304865041132828,0.003817564411910652,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.224288204532249e-07,2.224288204532249e-07,0.6682176223684724,0.763637996110095,0.013946905320001203,-0.008520519286880095,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.2626380011621153e-07,2.2626380011621153e-07,1.0340544203614,0.6758919266365455,-0.1744409536967955,-0.0099457646060741,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.3009877977919818e-07,2.3009877977919818e-07,0.07074797103010393,-1.6798748756246615,0.3867097357591565,0.001389912448811305,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.339337594421848e-07,2.339337594421848e-07,-1.0084962357244618,0.06701993287610249,-0.2265720189852797,0.010686179102569512,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.3776873910517144e-07,2.3776873910517144e-07,-0.784079992101515,-0.005385147748892769,0.0968333850016882,0.006347417163286155,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.4160371876815807e-07,2.4160371876815807e-07,0.430680863390067,0.8736285048082286,-0.04973040883630416,-0.006313537505193425,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.4543869843114474e-07,2.4543869843114474e-07,1.0785453307860715,0.9407847609710261,0.00865602367753203,-0.011003090568667473,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.4927367809413136e-07,2.4927367809413136e-07,0.3490316145328806,-1.3681045877077642,0.11199429996677146,-0.0014841841120386476,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.53108657757118e-07,2.53108657757118e-07,-0.8561282457939167,-0.4435363841363982,-0.1728441677365436,0.009662297677196403,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.569436374201046e-07,2.569436374201046e-07,-0.9582071065963886,0.08361420253537823,0.14416551265292876,0.008441551072524974,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.607786170830913e-07,2.607786170830913e-07,0.16293552201506425,0.2561830057559393,-0.10708755394821473,-0.0036976763497333443,dual_path_phase_matched_line,extraction_plus_rejection
spice_electrical_412_race_timeseries,e015,e015_dual_path_phase_matched_line_128c_100ohm_extraction_plus_rejection,2.646135967460779e-07,2.646135967460779e-07,1.0521621069011227,1.1102119622943498,0.124634859696797,-0.01131552520850815,dual_path_phase_matched_line,extraction_plus_rejection
